Rk;90s;Cmp;Att;Cmp%;TotDist;PrgDist;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Ast;xAG;xA;A-xAG;KP;1/3;PPA;CrsPA;PrgP
513;0.0;0;0;;0;0;0;0;;0;0;;0;0;;0;0.0;0.0;0.0;0;0;0;0;0
514;10.1;166;224;74.1;2219;557;98;115;85.2;43;56;76.8;8;18;44.4;3;1.7;2.2;+1.3;12;14;12;1;22
515;3.3;147;182;80.8;2320;312;82;90;91.1;50;60;83.3;10;16;62.5;1;0.5;0.4;+0.5;7;1;4;3;4
516;20.2;560;826;67.8;8794;2623;314;364;86.3;147;216;68.1;64;161;39.8;5;4.8;5.7;+0.2;60;63;18;5;76
517;22.8;348;570;61.1;5662;1033;188;276;68.1;123;185;66.5;28;45;62.2;2;1.9;1.6;+0.1;27;35;7;2;45
518;32.4;1059;1316;80.5;22350;7938;298;331;90.0;578;658;87.8;175;303;57.8;0;0.5;1.2;-0.5;6;66;4;1;90
519;11.1;160;230;69.6;2264;583;84;112;75.0;58;75;77.3;5;11;45.5;0;1.6;1.6;-1.6;15;12;9;5;13
520;13.7;453;544;83.3;7205;2127;239;270;88.5;168;198;84.8;30;46;65.2;0;0.5;0.8;-0.5;14;50;10;3;65
521;8.3;343;413;83.1;5336;1419;176;195;90.3;145;174;83.3;17;31;54.8;0;0.8;0.4;-0.8;6;26;9;2;31
522;31.0;583;827;70.5;17033;13136;131;132;99.2;230;239;96.2;205;436;47.0;0;0.0;0.1;0.0;0;20;2;0;0
523;30.7;1194;1481;80.6;24436;10536;412;454;90.7;601;677;88.8;172;309;55.7;3;1.2;1.0;+1.8;14;83;9;6;88
524;1.1;69;82;84.1;1211;446;33;36;91.7;28;32;87.5;7;11;63.6;0;0.0;0.0;0.0;0;3;0;0;4
525;12.8;495;605;81.8;11879;5015;103;125;82.4;276;304;90.8;113;164;68.9;0;0.4;0.1;-0.4;4;27;0;0;24
526;5.4;96;125;76.8;1454;170;53;63;84.1;32;37;86.5;7;11;63.6;0;0.8;0.9;-0.8;8;9;0;0;6
527;5.3;86;127;67.7;1251;289;54;62;87.1;27;39;69.2;3;7;42.9;1;0.1;0.2;+0.9;3;13;2;0;11
528;3.7;148;187;79.1;2846;927;59;64;92.2;67;76;88.2;20;39;51.3;1;0.8;0.6;+0.2;10;22;3;1;30
529;1.2;45;61;73.8;627;230;30;35;85.7;11;15;73.3;3;9;33.3;1;0.2;0.2;+0.8;2;4;2;2;7
530;9.0;104;158;65.8;1317;314;58;84;69.0;32;45;71.1;1;5;20.0;1;0.8;0.6;+0.2;12;8;4;0;17
531;12.0;275;391;70.3;8017;6432;52;52;100.0;128;131;97.7;95;208;45.7;0;0.0;0.0;0.0;0;4;0;0;0
532;0.4;32;40;80.0;445;112;19;21;90.5;8;11;72.7;3;4;75.0;0;0.3;0.7;-0.3;4;0;5;2;4
533;8.3;246;343;71.7;4545;1850;104;127;81.9;105;127;82.7;31;71;43.7;2;1.6;1.5;+0.4;18;40;18;6;52
534;7.6;291;391;74.4;5161;1191;143;159;89.9;108;137;78.8;37;81;45.7;1;2.1;2.1;-1.1;17;30;11;4;31
535;8.1;136;197;69.0;2093;423;74;92;80.4;45;64;70.3;10;19;52.6;0;0.5;0.6;-0.5;8;5;9;5;17
536;34.0;800;1061;75.4;24742;18033;98;98;100.0;368;377;97.6;331;576;57.5;0;0.0;0.0;0.0;0;12;0;0;0
537;11.2;475;569;83.5;9805;4170;139;160;86.9;263;287;91.6;69;105;65.7;0;0.1;0.1;-0.1;2;27;1;0;30
538;1.8;45;62;72.6;840;405;16;18;88.9;27;35;77.1;2;9;22.2;0;0.0;0.0;0.0;0;4;0;0;5
539;4.9;239;293;81.6;5214;2308;72;75;96.0;115;135;85.2;46;72;63.9;0;0.0;0.1;0.0;0;27;1;0;24
540;3.5;117;154;76.0;1845;539;71;79;89.9;36;46;78.3;8;15;53.3;2;1.5;1.1;+0.5;6;17;6;0;20
541;0.2;19;19;100.0;288;55;13;13;100.0;5;5;100.0;1;1;100.0;0;0.0;0.0;0.0;0;1;0;0;1
542;6.0;313;369;84.8;6145;2132;117;127;92.1;149;167;89.2;44;65;67.7;0;0.1;0.2;-0.1;4;33;5;0;43
543;23.8;645;908;71.0;14216;6968;191;222;86.0;321;406;79.1;130;250;52.0;0;1.4;0.4;-1.4;8;73;3;1;75
544;6.5;71;133;53.4;971;210;46;71;64.8;18;32;56.3;3;9;33.3;1;0.4;0.5;+0.6;5;0;3;2;4
545;2.1;110;125;88.0;2275;708;30;30;100.0;68;72;94.4;12;21;57.1;0;0.0;0.0;0.0;0;3;0;0;3
546;1.9;83;94;88.3;1426;576;37;38;97.4;36;40;90.0;9;11;81.8;0;0.3;0.2;-0.3;2;8;2;2;14
547;8.2;226;283;79.9;3748;1210;117;132;88.6;73;81;90.1;24;44;54.5;0;1.7;1.2;-1.7;14;23;8;3;28
548;0.6;18;23;78.3;310;43;8;8;100.0;9;10;90.0;1;3;33.3;0;0.2;0.0;-0.2;4;2;2;0;5
549;3.4;117;152;77.0;2043;546;57;68;83.8;41;53;77.4;13;15;86.7;1;0.4;0.1;+0.6;2;5;2;1;8
550;1.7;75;86;87.2;1171;350;47;51;92.2;20;21;95.2;7;11;63.6;0;0.1;0.2;-0.1;1;3;2;2;8
551;5.3;124;167;74.3;2000;592;67;75;89.3;41;50;82.0;12;23;52.2;1;0.6;0.7;+0.4;8;10;5;2;19
552;30.5;612;906;67.5;20196;16787;71;72;98.6;264;271;97.4;277;558;49.6;0;0.1;0.1;-0.1;1;13;1;0;0
553;27.7;1027;1262;81.4;18254;4940;445;503;88.5;457;520;87.9;103;171;60.2;9;7.6;6.9;+1.4;63;165;55;3;254
554;6.1;215;259;83.0;4415;1617;61;67;91.0;124;138;89.9;28;49;57.1;1;0.1;0.0;+0.9;3;7;1;0;12
555;10.7;288;450;64.0;5030;1993;142;166;85.5;100;151;66.2;35;96;36.5;1;2.2;2.9;-1.2;30;33;18;6;59
556;15.6;552;741;74.5;10172;4483;242;278;87.1;238;310;76.8;63;125;50.4;1;1.0;0.8;0.0;19;60;11;6;67
557;29.1;766;1124;68.1;24478;20137;131;132;99.2;322;328;98.2;313;659;47.5;0;0.1;0.2;-0.1;3;50;2;0;1
558;5.4;143;211;67.8;2582;816;78;94;83.0;45;53;84.9;18;45;40.0;2;0.4;0.7;+1.6;5;12;5;4;15
559;22.6;602;854;70.5;11804;3315;255;308;82.8;228;321;71.0;104;178;58.4;7;7.4;5.6;-0.4;52;84;31;6;91
560;18.6;585;768;76.2;10834;4298;212;237;89.5;313;357;87.7;52;149;34.9;1;0.5;0.6;+0.5;9;32;6;1;37
561;3.8;117;150;78.0;2160;974;48;53;90.6;51;60;85.0;15;33;45.5;0;0.0;0.0;0.0;1;13;1;0;11
562;0.0;1;2;50.0;14;0;1;1;100.0;0;0;;0;1;0.0;0;0.0;0.0;0.0;0;0;0;0;0
