PlayerName,Edad,Goles,Asistencias,Tarjetas_Amarilla,Tarjetas_Roja,PasesCompletados,PasesIntentados,Pct_PasesCompletados,PasesUltTercioCampo,PasesClave,PasesCruzados,PasesCambioDeBanda,xG,npxG,xA,xG_90Min,xA_90Min
Wilfred Ndidi,20,0,3,8,4,1262,1684,74.9,114,12,11,35,1.8,1.8,0.6,0.06,0.02
Marc Albrighton,27,2,7,5,1,747,1260,59.3,105,42,138,95,1.4,1.4,4.8,0.05,0.17
Demarai Gray,21,3,1,2,0,460,651,70.7,27,27,63,32,2,2,3.2,0.11,0.17
José Luis Morales,30,10,8,7,2,640,1011,63.3,60,47,97,42,8.7,6.4,5.6,0.25,0.16
José Campaña,24,1,4,9,2,1307,1617,80.8,147,52,35,69,1.5,1.5,4,0.05,0.13
Jack Cork,28,2,1,7,0,1268,1615,78.5,129,19,10,37,2.3,2.3,0.9,0.06,0.02
Jóhann Berg Guðmundsson,26,2,8,2,0,669,1051,63.7,33,66,121,84,3.6,3.6,5,0.11,0.16
Jeff Hendrick,25,2,2,1,0,630,812,77.6,46,23,20,9,3.1,3.1,1.5,0.12,0.06
Remo Freuler,25,5,2,4,1,1900,2200,86.4,206,45,23,37,5.9,5.9,2.5,0.18,0.08
Bryan Cristante,22,9,2,4,0,1223,1584,77.2,169,40,26,31,9.1,8.3,4.3,0.29,0.14
Papu Gómez,29,6,8,2,0,1108,1512,73.3,81,101,126,72,11.9,9.6,10,0.39,0.33
Marten de Roon,26,3,3,9,2,1426,1685,84.6,174,21,9,65,3,1.5,2,0.1,0.07
Hans Hateboer,23,0,1,3,0,1111,1401,79.3,75,16,51,17,1.8,1.8,1.7,0.07,0.06
Josip Ilicic,29,11,6,3,0,911,1188,76.7,63,62,54,69,9.6,8.1,6.2,0.43,0.28
Portu,25,11,4,5,0,483,679,71.1,42,40,62,15,6.9,6.9,5.9,0.21,0.18
Borja García,26,2,5,2,0,1143,1399,81.7,139,57,47,70,2.3,2.3,4,0.07,0.13
Álex Granell,28,1,5,11,0,1379,1851,74.5,186,75,72,130,2.8,2,5.8,0.09,0.18
Pablo Maffeo,20,0,0,11,0,838,1216,68.9,59,27,89,40,1.1,1.1,1.9,0.04,0.06
Pere Pons,24,0,1,8,0,785,988,79.5,88,14,7,18,1.1,1.1,1.7,0.04,0.06
Aday,29,2,0,10,0,695,1006,69.1,41,23,99,39,2.6,1.1,1.8,0.13,0.09
Lucas Torreira,21,4,1,6,0,1939,2288,84.7,203,32,27,69,1.6,1.6,1.9,0.04,0.05
Dennis Praet,23,1,3,4,0,1236,1511,81.8,116,35,54,27,1.4,1.4,3,0.05,0.1
Gastón Ramírez,26,3,6,9,0,779,1100,70.8,65,46,42,43,3.9,3.9,5.2,0.16,0.21
Gianluca Caprari,24,5,3,5,2,505,676,74.7,28,30,25,16,7.8,7.8,3.2,0.39,0.16
Romain Amalfitano,27,0,1,5,0,1129,1400,80.6,138,26,18,83,0.4,0.4,2,0.01,0.07
Naïm Sliti,25,7,6,2,0,616,903,68.2,60,58,46,41,5.5,4,5,0.22,0.2
Kwon Chang-hoon,23,11,2,3,0,446,685,65.1,23,31,54,32,8.2,8.2,1.9,0.34,0.08
Alfonso Pedraza,21,3,5,5,0,460,734,62.7,40,28,60,19,3.5,3.5,3.7,0.13,0.14
Ibai Gómez,27,7,6,1,0,616,934,66,74,38,62,55,5.5,4.7,4.8,0.21,0.18
Mohamed Salah,25,32,10,1,0,762,1042,73.1,36,62,56,35,22.2,20.7,8.3,0.68,0.26
Georginio Wijnaldum,26,1,2,1,0,1129,1265,89.2,92,22,4,25,2.4,2.4,1.3,0.09,0.05
James Milner,31,0,3,3,0,1314,1607,81.8,199,38,67,74,1.7,1.7,3.5,0.09,0.18
Alex Oxlade-Chamberlain,23,3,7,3,0,603,789,76.4,82,32,46,47,2,2,3.5,0.12,0.21
Javier Eraso,27,4,3,4,0,649,902,72,55,41,32,22,3.9,3.9,2.9,0.14,0.1
