Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG
108;Luis Cárdenas;mx MEX;GK;Monterrey;29-230;1993;9;9;765;8.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
109;Ulises Cardona;mx MEX;MFFW;Necaxa;24-171;1998;2;0;60;0.7;0;0;0;0;0;0;1;0;0.0;0.0;0.3;0.3;3;2;3;0.00;0.00;0.00;0.00;0.00;0.01;0.48;0.49;0.01;0.49
110;Rafael Carioca;br BRA;MF;UANL;33-319;1989;31;22;1934;21.5;0;2;2;0;0;0;4;1;0.7;0.7;1.8;2.5;33;201;27;0.00;0.09;0.09;0.00;0.09;0.03;0.08;0.12;0.03;0.12
111;Gonzalo Carneiro;uy URU;FW;Cruz Azul;27-233;1995;20;10;995;11.1;4;1;5;3;1;1;4;0;4.1;3.4;0.5;3.9;21;22;44;0.36;0.09;0.45;0.27;0.36;0.37;0.05;0.42;0.30;0.35
112;Ramiro Carrera;ar ARG;MFFW;Cruz Azul;29-191;1993;10;3;270;3.0;0;0;0;0;0;0;0;0;0.6;0.6;0.4;1.0;10;12;15;0.00;0.00;0.00;0.00;0.00;0.20;0.15;0.34;0.20;0.34
113;Jordan Carrillo;mx MEX;MFDF;Santos;21-154;2001;3;1;109;1.2;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;3;2;6;0.00;0.00;0.00;0.00;0.00;0.05;0.01;0.06;0.05;0.06
114;Kevin Castañeda;mx MEX;MF;Tijuana;23-187;1999;11;4;347;3.9;0;0;0;0;0;0;1;0;0.5;0.5;0.3;0.8;15;45;19;0.00;0.00;0.00;0.00;0.00;0.12;0.09;0.21;0.12;0.21
115;Byron Castillo;ec ECU;DF;León;24-174;1998;21;16;1409;15.7;1;1;2;1;0;0;5;0;0.4;0.4;2.5;3.0;59;59;103;0.06;0.06;0.13;0.06;0.13;0.03;0.16;0.19;0.03;0.19
116;Fabián Castillo;co COL;FW;Tijuana;30-320;1992;9;1;213;2.4;0;2;2;0;0;0;0;0;0.3;0.3;0.7;1.0;9;6;17;0.00;0.85;0.85;0.00;0.85;0.12;0.29;0.41;0.12;0.41
117;José Castillo Pérez;mx MEX;DF;Pachuca;21-152;2001;19;14;1201;13.3;2;0;2;2;0;0;2;0;0.9;0.9;0.4;1.3;12;43;13;0.15;0.00;0.15;0.15;0.15;0.07;0.03;0.10;0.07;0.10
118;Raúl Castillo;mx MEX;MF;Puebla;21-152;2001;2;1;59;0.7;0;0;0;0;0;0;1;0;0.0;0.0;0.2;0.2;1;0;2;0.00;0.00;0.00;0.00;0.00;0.03;0.29;0.33;0.03;0.33
119;Lucas Cavallini;ca CAN;FW;Tijuana;30-126;1992;12;8;722;8.0;2;2;4;2;0;0;1;0;2.9;2.9;0.8;3.6;10;14;58;0.25;0.25;0.50;0.25;0.50;0.36;0.10;0.45;0.36;0.45
120;Enrique Cedillo;mx MEX;DF;Mazatlán;27-025;1996;10;5;428;4.8;0;0;0;0;0;0;2;0;0.0;0.0;0.2;0.2;8;23;0;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.04;0.00;0.04
121;Julien Celestine;fr FRA;DF;León;25-283;1997;4;3;293;3.3;0;0;0;0;0;0;3;1;0.2;0.2;0.0;0.2;0;6;0;0.00;0.00;0.00;0.00;0.00;0.06;0.01;0.07;0.06;0.07
122;Alan Cervantes;mx MEX;MF;Santos;25-106;1998;31;26;2181;24.2;0;1;1;0;0;0;7;0;0.5;0.5;1.4;1.9;26;105;27;0.00;0.04;0.04;0.00;0.04;0.02;0.06;0.08;0.02;0.08
123;Daniel Cervantes;mx MEX;DF;Querétaro;32-309;1990;9;3;315;3.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;4;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
124;Luís Cervantes;mx MEX;DF;León;22-083;2001;3;2;189;2.1;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;2;2;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
125;Aníbal Chalá;ec ECU;DFMF;Atlas;26-359;1996;22;10;1020;11.3;0;0;0;0;0;0;4;0;0.5;0.5;0.5;1.0;40;28;76;0.00;0.00;0.00;0.00;0.00;0.04;0.05;0.09;0.04;0.09
126;Diego Chávez Collins;mx MEX;FWMF;FC Juárez;27-357;1995;7;1;210;2.3;1;0;1;1;0;0;0;0;0.7;0.7;0.6;1.3;1;0;21;0.43;0.00;0.43;0.43;0.43;0.29;0.26;0.55;0.29;0.55
127;Luis Chávez;mx MEX;MF;Pachuca;27-108;1996;33;31;2802;31.1;3;4;7;3;0;0;3;1;2.7;2.7;3.9;6.6;59;264;39;0.10;0.13;0.22;0.10;0.22;0.09;0.12;0.21;0.09;0.21
128;Ricardo Chávez Soto;mx MEX;DF;Atlético;28-165;1994;32;32;2811;31.2;0;4;4;0;0;0;7;1;1.4;1.4;3.3;4.7;44;100;154;0.00;0.13;0.13;0.00;0.13;0.05;0.10;0.15;0.05;0.15
129;Jesús Chiquete;mx MEX;DF;Guadalajara;21-073;2002;31;30;2642;29.4;1;2;3;1;0;0;9;0;0.9;0.9;0.5;1.4;28;87;27;0.03;0.07;0.10;0.03;0.10;0.03;0.02;0.05;0.03;0.05
130;Ronaldo Cisneros;mx MEX;FWMF;Guadalajara;26-115;1997;15;11;862;9.6;2;1;3;2;0;0;1;0;1.6;1.6;0.6;2.2;6;11;44;0.21;0.10;0.31;0.21;0.31;0.17;0.06;0.23;0.17;0.23
131;Josué Colmán;py PAR;MFFW;Mazatlán;24-282;1998;25;10;1044;11.6;0;1;1;0;0;0;1;0;1.1;1.1;1.0;2.1;31;45;69;0.00;0.09;0.09;0.00;0.09;0.10;0.09;0.18;0.10;0.18
132;Bryan Colula;mx MEX;DF;Mazatlán;27-027;1996;28;23;1933;21.5;2;1;3;2;0;0;6;0;1.5;1.5;0.6;2.2;32;77;95;0.09;0.05;0.14;0.09;0.14;0.07;0.03;0.10;0.07;0.10
133;Francisco Contreras;mx MEX;DFMF;Tijuana;23-322;1999;20;7;705;7.8;0;0;0;0;0;0;1;0;0.2;0.2;1.1;1.3;7;39;42;0.00;0.00;0.00;0.00;0.00;0.03;0.13;0.16;0.03;0.16
134;José Corona;mx MEX;GK;Cruz Azul;42-097;1981;23;23;2069;23.0;0;0;0;0;0;0;6;1;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
135;George Corral;mx MEX;DFMF;Puebla;32-289;1990;7;3;267;3.0;0;0;0;0;0;0;1;0;0.0;0.0;0.1;0.1;1;13;3;0.00;0.00;0.00;0.00;0.00;0.00;0.02;0.02;0.00;0.02
136;Rogelio Cortéz Pineda;mx MEX;MF;Necaxa;18-300;2004;8;1;142;1.6;0;0;0;0;0;0;1;0;0.2;0.2;0.1;0.3;8;8;6;0.00;0.00;0.00;0.00;0.00;0.13;0.07;0.20;0.13;0.20
137;Jordi Cortizo;mx MEX;MFFW;Puebla;26-307;1996;17;15;1212;13.5;4;3;7;4;0;0;4;0;2.3;2.3;1.8;4.1;42;63;72;0.30;0.22;0.52;0.30;0.52;0.17;0.13;0.30;0.17;0.30
138;Jordi Cortizo;mx MEX;MFFW;Monterrey;26-307;1996;17;2;375;4.2;1;0;1;1;0;0;1;0;0.4;0.4;0.7;1.1;15;20;32;0.24;0.00;0.24;0.24;0.24;0.10;0.16;0.26;0.10;0.26
139;Rodolfo Cota;mx MEX;GK;León;35-304;1987;34;34;3060;34.0;0;0;0;0;0;0;5;0;0.1;0.1;0.0;0.1;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
140;Aldo Cruz;mx MEX;DF;Atlético;25-221;1997;16;16;1305;14.5;0;1;1;0;0;0;2;0;0.0;0.0;0.5;0.5;21;51;18;0.00;0.07;0.07;0.00;0.07;0.00;0.03;0.03;0.00;0.03
141;Jürgen Damm;mx MEX;FWMF;América;30-177;1992;6;0;89;1.0;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;8;0;25;0.00;0.00;0.00;0.00;0.00;0.12;0.00;0.12;0.12;0.12
142;Jorge Daniel Hernández;mx MEX;MF;Querétaro;33-327;1989;23;16;1249;13.9;0;0;0;0;0;0;4;0;0.0;0.0;0.1;0.1;3;59;5;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.00;0.01
143;Juan David Castro;mx MEX;MFFW;Atlético;31-133;1991;21;3;359;4.0;0;0;0;0;0;0;2;0;0.5;0.5;0.0;0.6;9;20;29;0.00;0.00;0.00;0.00;0.00;0.14;0.01;0.14;0.14;0.14
144;José David Ramírez;mx MEX;DF;León;27-140;1995;2;0;17;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
145;Víctor Dávila;cl CHI;FWMF;León;25-180;1997;30;26;2102;23.4;9;4;13;9;0;0;2;1;7.8;7.8;5.3;13.1;43;107;162;0.39;0.17;0.56;0.39;0.56;0.33;0.23;0.56;0.33;0.56
146;Diego De Buen;mx MEX;DFMF;Puebla;31-304;1991;34;34;3019;33.5;1;2;3;1;0;0;5;0;1.8;1.8;3.0;4.8;13;95;9;0.03;0.06;0.09;0.03;0.09;0.05;0.09;0.14;0.05;0.14
147;Sergio De los Ríos;mx MEX;MF;América;19-309;2003;1;0;15;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
148;Arturo del Campo;mx MEX;MF;Toluca;20-046;2003;1;0;2;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;0;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
149;Gustavo Del Prete;ar ARG;MFFW;UNAM;26-325;1996;32;26;1979;22.0;5;3;8;5;0;0;5;1;6.8;6.8;3.9;10.7;58;72;120;0.23;0.14;0.36;0.23;0.36;0.31;0.18;0.49;0.31;0.49
150;Arturo Delgado;mx MEX;GK;UANL;21-074;2002;1;0;45;0.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
151;Franco Di Santo;ar ARG;FW;Tijuana;34-026;1989;15;7;735;8.2;2;0;2;2;0;0;1;0;1.4;1.4;0.8;2.2;8;19;54;0.24;0.00;0.24;0.24;0.24;0.17;0.10;0.27;0.17;0.27
152;Lucas Di Yorio;ar ARG;FW;León;26-162;1996;33;30;2550;28.3;11;2;13;11;0;0;5;1;11.6;11.6;1.3;12.9;34;18;142;0.39;0.07;0.46;0.39;0.46;0.41;0.05;0.46;0.41;0.46
153;Nicolás Díaz Huincales;cl CHI;DF;Tijuana;23-348;1999;30;30;2647;29.4;0;1;1;0;0;0;13;3;0.6;0.6;0.9;1.5;35;99;36;0.00;0.03;0.03;0.00;0.03;0.02;0.03;0.05;0.02;0.05
154;Jair Díaz;mx MEX;DF;Tijuana;24-255;1998;21;15;1410;15.7;0;0;0;0;0;0;9;0;0.2;0.2;0.2;0.4;19;65;39;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.02;0.01;0.02
155;Diogo;br BRA;FWMF;UNAM;26-150;1996;32;15;1700;18.9;6;1;7;6;0;0;3;1;6.3;6.3;1.4;7.7;31;28;127;0.32;0.05;0.37;0.32;0.37;0.33;0.07;0.41;0.33;0.41
156;Cecilio Domínguez;py PAR;MFFW;Santos;28-265;1994;14;1;273;3.0;0;1;1;0;0;0;1;1;0.1;0.1;0.4;0.5;12;16;24;0.00;0.33;0.33;0.00;0.33;0.03;0.14;0.17;0.03;0.17
157;Idekel Domínguez;mx MEX;MF;Atlas;22-335;2000;1;1;65;0.7;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;2;2;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.00;0.01
158;Juan Domínguez;mx MEX;FWMF;Necaxa;24-185;1998;15;3;389;4.3;0;0;0;0;0;0;1;0;0.3;0.3;0.0;0.3;17;12;36;0.00;0.00;0.00;0.00;0.00;0.07;0.01;0.07;0.07;0.07
159;Julio Domínguez;mx MEX;DF;Cruz Azul;35-176;1987;29;28;2465;27.4;1;0;1;1;0;0;4;0;0.6;0.6;0.4;1.0;23;92;12;0.04;0.00;0.04;0.04;0.04;0.02;0.01;0.04;0.02;0.04
160;Misael Domínguez;mx MEX;MFFW;Tijuana;23-188;1999;10;2;202;2.2;0;0;0;0;0;0;0;1;0.2;0.2;0.3;0.5;14;21;19;0.00;0.00;0.00;0.00;0.00;0.11;0.12;0.23;0.11;0.23
161;Dória;br BRA;DF;Santos;28-176;1994;18;13;1267;14.1;1;0;1;1;0;0;1;0;1.7;1.7;0.2;1.9;7;32;1;0.07;0.00;0.07;0.07;0.07;0.12;0.01;0.13;0.12;0.13
162;Jonathan dos Santos;mx MEX;MF;América;33-007;1990;23;7;632;7.0;1;0;1;1;0;0;2;0;0.2;0.2;0.3;0.5;13;55;8;0.14;0.00;0.14;0.14;0.14;0.03;0.05;0.07;0.03;0.07
163;Rodrigo Dourado;br BRA;MF;Atlético;28-320;1994;28;26;2181;24.2;0;1;1;0;0;0;8;0;0.7;0.7;1.0;1.7;21;97;16;0.00;0.04;0.04;0.00;0.04;0.03;0.04;0.07;0.03;0.07
164;Jesús Dueñas;mx MEX;MFFW;FC Juárez;34-048;1989;29;26;2314;25.7;3;6;9;2;1;1;5;1;3.1;2.3;4.4;6.7;57;156;165;0.12;0.23;0.35;0.08;0.31;0.12;0.17;0.29;0.09;0.26
165;Javier Eduardo López;mx MEX;MFFW;Pachuca;28-228;1994;23;12;1128;12.5;8;5;13;8;0;0;1;0;3.2;3.2;4.0;7.2;22;64;83;0.64;0.40;1.04;0.64;1.04;0.26;0.32;0.58;0.26;0.58
166;Jorge Eduardo Sánchez;mx MEX;DF;América;25-144;1997;3;3;270;3.0;0;0;0;0;0;0;1;0;0.2;0.2;0.3;0.5;8;17;24;0.00;0.00;0.00;0.00;0.00;0.06;0.11;0.17;0.06;0.17
167;Francisco Eduardo Venegas;mx MEX;DFFW;UANL;24-291;1998;4;1;105;1.2;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;3;11;7;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.04;0.00;0.04
168;Francisco Eduardo Venegas;mx MEX;DFMF;Mazatlán;24-291;1998;14;12;949;10.5;1;0;1;1;0;0;2;0;0.7;0.7;0.6;1.3;12;43;19;0.09;0.00;0.09;0.09;0.09;0.06;0.05;0.12;0.06;0.12
169;Alfonso Emilio Sánchez;mx MEX;MFFW;Mazatlán;28-321;1994;20;6;647;7.2;2;0;2;2;0;0;4;0;0.7;0.7;0.1;0.9;6;27;13;0.28;0.00;0.28;0.28;0.28;0.10;0.02;0.12;0.10;0.12
170;José Enrique Angulo;ec ECU;FW;Querétaro;28-089;1995;10;3;361;4.0;1;0;1;1;0;0;2;0;1.2;1.2;0.1;1.3;10;7;19;0.25;0.00;0.25;0.25;0.25;0.29;0.02;0.32;0.29;0.32
171;Luis Enrique Quiñones;co COL;FWMF;UANL;31-311;1991;30;24;2098;23.3;4;2;6;4;0;0;15;3;4.4;4.4;6.3;10.7;102;106;250;0.17;0.09;0.26;0.17;0.26;0.19;0.27;0.46;0.19;0.46
172;Carlos Ernesto Cisneros;mx MEX;FWDF;Guadalajara;29-246;1993;32;19;1728;19.2;4;5;9;4;0;0;6;0;5.9;5.9;2.5;8.3;77;55;166;0.21;0.26;0.47;0.21;0.47;0.31;0.13;0.43;0.31;0.43
173;Kevin Escamilla;mx MEX;MF;Querétaro;29-071;1994;30;25;2080;23.1;1;1;2;1;0;0;4;0;1.6;1.6;1.7;3.3;28;93;32;0.04;0.04;0.09;0.04;0.09;0.07;0.07;0.14;0.07;0.14
174;Juan Escobar;py PAR;DF;Cruz Azul;27-304;1995;27;27;2355;26.2;0;3;3;0;0;0;7;0;1.2;1.2;1.3;2.4;17;68;31;0.00;0.11;0.11;0.00;0.11;0.04;0.05;0.09;0.04;0.09
175;Alonso Escoboza;mx MEX;DFMF;Cruz Azul;30-101;1993;14;3;417;4.6;3;0;3;3;0;0;2;0;1.1;1.1;0.3;1.4;9;11;16;0.65;0.00;0.65;0.65;0.65;0.24;0.07;0.31;0.24;0.31
176;Amaury Escoto;mx MEX;FWMF;Puebla;30-154;1992;8;0;141;1.6;1;0;1;1;0;0;0;0;0.6;0.6;0.2;0.9;2;1;7;0.64;0.00;0.64;0.64;0.64;0.40;0.15;0.55;0.40;0.55
177;Michael Estrada;ec ECU;FW;Cruz Azul;27-026;1996;21;11;833;9.3;3;1;4;2;1;1;3;2;3.2;2.4;0.9;3.3;6;12;43;0.32;0.11;0.43;0.22;0.32;0.34;0.09;0.44;0.26;0.35
178;Marco Fabián;mx MEX;MFFW;Mazatlán;33-286;1989;17;8;758;8.4;1;1;2;1;0;0;2;0;1.3;1.3;1.0;2.3;8;38;52;0.12;0.12;0.24;0.12;0.24;0.16;0.12;0.28;0.16;0.28
179;Luis Félix;mx MEX;DF;Tijuana;22-244;2000;3;0;70;0.8;0;0;0;0;0;0;0;0;0.0;0.0;0.1;0.1;4;4;12;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.00;0.03
180;Luis Félix;mx MEX;DF;Tijuana;22-244;2000;2;2;135;1.5;0;0;0;0;0;0;0;0;;;;;;;;0.00;0.00;0.00;0.00;0.00;;;;;
181;Omar Fernández Frasica;co COL;MFFW;Puebla;30-081;1993;25;19;1597;17.7;4;2;6;4;0;0;4;0;1.8;1.8;2.2;4.0;55;84;104;0.23;0.11;0.34;0.23;0.34;0.10;0.12;0.22;0.10;0.22
182;Gabriel Fernández;uy URU;FW;FC Juárez;28-355;1994;32;30;2530;28.1;8;3;11;8;0;1;10;2;9.2;8.4;3.6;12.1;53;57;140;0.28;0.11;0.39;0.28;0.39;0.33;0.13;0.46;0.30;0.43
183;Leonardo Fernández;uy URU;MFFW;Toluca;24-176;1998;30;22;1856;20.6;8;9;17;5;3;3;6;0;6.5;4.2;7.8;12.0;59;142;144;0.39;0.44;0.82;0.24;0.68;0.32;0.38;0.70;0.20;0.58
184;Rafael Fernández;mx MEX;DF;Querétaro;22-271;2000;18;16;1406;15.6;1;0;1;1;0;0;1;0;0.6;0.6;0.3;0.9;11;43;17;0.06;0.00;0.06;0.06;0.06;0.04;0.02;0.06;0.04;0.06
185;Luis Fernando Fuentes;mx MEX;DF;América;36-231;1986;26;19;1766;19.6;0;1;1;0;0;0;1;0;1.1;1.1;1.5;2.6;46;86;179;0.00;0.05;0.05;0.00;0.05;0.06;0.08;0.13;0.06;0.13
186;Luis Fernando León;ec ECU;DF;Atlético;30-022;1993;14;14;1242;13.8;0;0;0;0;0;0;2;0;0.3;0.3;0.3;0.6;4;29;1;0.00;0.00;0.00;0.00;0.00;0.02;0.02;0.04;0.02;0.04
187;Luis Fernando Quintana;mx MEX;DF;Necaxa;31-089;1992;1;1;71;0.8;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;0;2;0;0.00;0.00;0.00;0.00;0.00;0.13;0.02;0.15;0.13;0.15
188;Gustavo Ferrareis;br BRA;DFMF;Puebla;27-121;1996;31;29;2381;26.5;3;4;7;3;0;0;7;0;2.5;2.5;2.2;4.8;58;82;133;0.11;0.15;0.26;0.11;0.26;0.10;0.08;0.18;0.10;0.18
189;Álvaro Fidalgo;es ESP;MF;América;26-024;1997;34;30;2659;29.5;2;6;8;2;0;0;1;0;1.2;1.2;2.6;3.8;90;346;70;0.07;0.20;0.27;0.07;0.27;0.04;0.09;0.13;0.04;0.13
190;Carlos Fierro;mx MEX;FWMF;FC Juárez;28-283;1994;7;5;327;3.6;1;0;1;1;0;0;0;0;0.1;0.1;0.0;0.2;6;5;13;0.28;0.00;0.28;0.28;0.28;0.04;0.00;0.04;0.04;0.04
191;Sebastián Fierro;mx MEX;MF;UANL;21-259;2001;1;1;90;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.1;0.1;1;1;1;0.00;0.00;0.00;0.00;0.00;0.00;0.05;0.05;0.00;0.05
192;Abraham Flores;mx MEX;DF;Tijuana;20-293;2002;3;2;139;1.5;0;0;0;0;0;0;0;1;0.0;0.0;0.0;0.0;2;2;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
193;Edison Flores;pe PER;MF;Atlas;28-354;1994;22;7;821;9.1;0;2;2;0;0;0;0;0;1.6;1.6;1.7;3.4;15;35;55;0.00;0.22;0.22;0.00;0.22;0.18;0.19;0.37;0.18;0.37
194;Fabricio Formiliano;uy URU;DF;Necaxa;30-109;1993;14;12;1067;11.9;1;1;2;1;0;0;2;0;0.4;0.4;0.2;0.6;3;38;1;0.08;0.08;0.17;0.08;0.17;0.03;0.01;0.05;0.03;0.05
195;Alexis Francisco Peña;mx MEX;DF;Necaxa;27-110;1996;34;34;3015;33.5;1;1;2;1;0;0;6;0;1.2;1.2;0.5;1.7;20;117;3;0.03;0.03;0.06;0.03;0.06;0.04;0.01;0.05;0.04;0.05
196;Nicolás Freire;ar ARG;DF;UNAM;29-074;1994;32;32;2862;31.8;2;1;3;2;0;0;8;1;0.8;0.7;1.1;1.8;10;118;6;0.06;0.03;0.09;0.06;0.09;0.02;0.04;0.06;0.02;0.06
197;Adonis Frías;ar ARG;DF;León;25-047;1998;13;11;1041;11.6;0;1;1;0;0;0;2;1;0.2;0.2;0.6;0.9;7;41;3;0.00;0.09;0.09;0.00;0.09;0.02;0.05;0.07;0.02;0.07
198;Raymundo Fulgencio;mx MEX;MFFW;UANL;23-080;2000;23;13;1143;12.7;1;2;3;1;0;0;4;0;1.7;1.7;1.5;3.2;39;40;123;0.08;0.16;0.24;0.08;0.24;0.13;0.12;0.25;0.13;0.25
199;Ramiro Funes Mori;ar ARG;DF;Cruz Azul;32-059;1991;24;24;2013;22.4;1;0;1;1;0;0;4;1;2.3;2.3;0.0;2.3;18;75;6;0.04;0.00;0.04;0.04;0.04;0.10;0.00;0.10;0.10;0.10
200;Rogelio Funes Mori;mx MEX;FW;Monterrey;32-059;1991;23;22;1782;19.8;16;3;19;13;3;4;8;1;13.1;10.0;2.7;12.7;22;35;119;0.81;0.15;0.96;0.66;0.81;0.66;0.14;0.80;0.50;0.64
201;Julio Furch;ar ARG;FW;Atlas;33-278;1989;27;25;1876;20.8;5;2;7;4;1;1;4;1;5.6;4.8;1.4;6.3;11;35;105;0.24;0.10;0.34;0.19;0.29;0.27;0.07;0.34;0.23;0.30
202;Alam Galindo;mx MEX;FW;Tijuana;21-347;2001;1;0;8;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
203;José Galindo;mx MEX;DF;UNAM;25-110;1998;14;13;970;10.8;0;0;0;0;0;0;5;0;0.1;0.1;0.2;0.4;4;19;6;0.00;0.00;0.00;0.00;0.00;0.01;0.02;0.03;0.01;0.03
204;Jesús Gallardo;mx MEX;DF;Monterrey;28-261;1994;33;24;2231;24.8;5;4;9;5;0;0;6;0;2.3;2.3;5.5;7.8;65;73;126;0.20;0.16;0.36;0.20;0.36;0.09;0.22;0.31;0.09;0.31
205;Isaias Galván;mx MEX;MF;UANL;18-050;2005;1;0;15;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
206;Juan Gamboa;mx MEX;MFDF;Toluca;22-077;2001;2;0;16;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.2;0.2;0;1;7;0.00;0.00;0.00;0.00;0.00;0.09;1.00;1.08;0.09;1.08
207;Brian García;mx MEX;DF;Toluca;25-184;1997;16;14;1333;14.8;2;1;3;2;0;0;5;0;1.7;1.7;1.9;3.5;36;81;77;0.14;0.07;0.20;0.14;0.20;0.11;0.13;0.24;0.11;0.24
208;Brian García;mx MEX;DF;Necaxa;25-184;1997;17;17;1526;17.0;1;2;3;1;0;0;2;0;0.6;0.6;1.0;1.6;25;56;50;0.06;0.12;0.18;0.06;0.18;0.04;0.06;0.09;0.04;0.09
209;Denzell García;mx MEX;MF;FC Juárez;19-261;2003;18;10;943;10.5;1;0;1;1;0;0;0;0;0.7;0.7;0.2;0.9;8;45;9;0.10;0.00;0.10;0.10;0.10;0.07;0.01;0.08;0.07;0.08
210;Emiliano García;mx MEX;MF;Puebla;19-159;2003;2;0;14;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;2;2;4;0.00;0.00;0.00;0.00;0.00;0.00;0.13;0.13;0.00;0.13
211;Francisco García;mx MEX;FW;América;19-207;2003;1;0;13;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
212;Gilberto García;mx MEX;MF;Guadalajara;22-257;2000;1;0;14;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;2;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
213;Jorge García;mx MEX;MF;Cruz Azul;21-101;2002;1;0;19;0.2;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;1;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
214;José García;mx MEX;DF;Atlético;26-315;1996;12;10;990;11.0;0;0;0;0;0;0;5;0;0.2;0.2;0.0;0.2;1;19;0;0.00;0.00;0.00;0.00;0.00;0.02;0.00;0.02;0.02;0.02
215;Alberto García Jr.;mx MEX;FWMF;Querétaro;29-219;1993;2;0;28;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;1;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
216;Luis García;mx MEX;FW;Puebla;31-039;1992;19;8;744;8.3;0;5;5;0;0;0;5;0;;;;;;;;0.00;0.60;0.60;0.00;0.60;;;;;
217;Marco García;mx MEX;MF;UNAM;23-106;2000;17;3;416;4.6;0;0;0;0;0;0;1;0;0.5;0.5;0.9;1.4;11;35;15;0.00;0.00;0.00;0.00;0.00;0.11;0.19;0.30;0.11;0.30
218;Matías García;ar ARG;MFDF;FC Juárez;31-193;1991;14;10;816;9.1;1;0;1;1;0;0;4;0;0.5;0.5;1.1;1.6;16;37;36;0.11;0.00;0.11;0.11;0.11;0.06;0.12;0.17;0.06;0.17
219;Uziel García;mx MEX;DF;Atlético;22-024;2001;18;11;1082;12.0;0;0;0;0;0;0;1;0;0.1;0.1;0.7;0.8;9;29;18;0.00;0.00;0.00;0.00;0.00;0.01;0.06;0.07;0.01;0.07
220;Bryan Garnica;mx MEX;MFFW;Necaxa;26-341;1996;33;25;2107;23.4;2;3;5;2;0;0;3;0;1.3;1.3;4.2;5.5;50;54;134;0.09;0.13;0.21;0.09;0.21;0.05;0.18;0.24;0.05;0.24
221;Jesús Garza;mx MEX;DF;UANL;22-331;2000;22;15;1226;13.6;0;1;1;0;0;0;5;0;0.3;0.3;0.9;1.3;20;69;89;0.00;0.07;0.07;0.00;0.07;0.02;0.07;0.09;0.02;0.09
